ABW,83.78
AND,95.9
AFG,6.39
AGO,21.26
ALB,60.1
ARB,34.5173747336633
ARE,90.4
ARG,64.7
ARM,46.3
ASM,
ATG,64
AUS,84.56
AUT,81
AZE,61
BDI,1.38
BEL,85
BEN,5.3
BFA,9.4
BGD,9.6
BGR,55.49
BHR,90.99998
The,72
BIH,60.8
BLR,59.02
BLZ,38.7
BMU,96.8
BOL,39.02
BRA,57.6
BRB,76.67
BRN,68.77
BTN,34.37
BWA,18.5
CAF,4.03
CAN,87.12
CEB,66.9285233413295
CHE,87
CHI,
CHL,72.35
CHN,49.3
CIV,14.6
CMR,11
Rep.,6.6
COL,52.57
COM,6.98
CPV,40.26
CRI,49.41
CSS,49.2739489478771
CUB,30
CUW,
CYM,74.1
CYP,69.33
CZE,79.71
DEU,86.19
DJI,10.71
DMA,62.86
DNK,95.99
DOM,49.58
DZA,18.09
EAP,42.1320603778734
EAS,46.8912750395826
ECA,48.1822381677585
ECS,69.2034365478165
ECU,43
Arab Rep.,29.4
EMU,78.3000360115901
ERI,0.99
ESP,76.19
EST,84.24
ETH,2.9
EUU,78.1021476800944
FCS,11.5312545592712
FIN,92.38
FJI,41.8
FRA,83.75
FRO,94.66
Fed. Sts.,27.8
GAB,9.81
GBR,91.61
GEO,48.9
GHA,18.9
GIN,1.72
The,14
GNB,3.32
GNQ,18.86
GRC,63.21
GRD,37.38
GRL,66.7
GTM,23.4
GUM,69.27
GUY,37.35
HIC,80.6075498546686
China,74.2
HND,19.08
HPC,8.86529118205637
HRV,68.57
HTI,11.4
HUN,76.13
IDN,17.14
IMN,
IND,18
INX,
IRL,79.69
Islamic Rep.,29.95
IRQ,11.3
ISL,98.16
ISR,71.45
ITA,61.96
JAM,40.5
JOR,44
JPN,90.58
KAZ,54.89
KEN,43.4
KGZ,28.3
KHM,9
KIR,12.25
KNA,65.4
Rep.,84.77
KSV,
KWT,78.7
LAC,47.4660333270483
LAO,14.26
LBN,74.7
LBR,5.41
LBY,17.76
LCA,51
LCN,50.153320418858
LDC,8.6363921502324
LIC,6.2909866250761
LIE,95.21
LKA,25.8
LMC,22.5551514519941
LMY,31.1365897393605
LSO,11
LTU,72.13
LUX,94.67
LVA,75.83
China,65.8
MAF,
MAR,56.8
MCO,92.4
MDA,46.6
MDG,3.7
MDV,49.28
MEA,38.2614233288785
MEX,44.39
MHL,16.8
MIC,34.0523027842052
FYR,65.24
MLI,7
MLT,73.17
MMR,2.1
MNA,32.6617750663861
MNE,61
MNG,27
MNP,
MOZ,5.94
MRT,10.7
MUS,41.44
MWI,5.83
MYS,67.5
NAC,87.3379213412336
NAM,14.84
NCL,70
NER,1.95
NGA,42.68
NIC,17.6
NLD,93.17
NOC,69.899326346869
NOR,96.3
NPL,15.44
NZL,85.5
OEC,83.8455755786269
OED,78.0513737077336
OMN,70.22
OSS,18.3925682450413
PAK,13.8
PAN,44.92
PER,40.2
PHL,39.69
PLW,
PNG,9.38
POL,66.6
PRI,78.78
Dem. Rep.,
PRT,64.59
PRY,43
PSS,26.6331225128195
PYF,60.68
QAT,91.49
ROU,54.08
RUS,70.52
RWA,10.6
SAS,16.6099246937189
SAU,63.7
SDN,24.64
SEN,17.7
SGP,82
SLB,9
SLE,2.1
SLV,29.7
SMR,
SOM,1.63
SRB,53.5
SSA,19.2181330694094
SSD,15.9
SSF,19.2212447812268
SST,26.3799180755841
STP,24.41
SUR,40.08
SVK,79.98
SVN,71.59
SWE,92.52
SWZ,27.1
SXM,
SYC,54.26
SYR,28.09
TCA,
TCD,2.5
TGO,5.7
THA,34.89
TJK,17.49
TKM,12.2
TLS,1.14
TON,40
TTO,65.1
TUN,46.16
TUR,51.04
TUV,
TZA,4.86
UGA,17.71
UKR,43.4
UMC,47.7213465385068
URY,61.46
USA,87.36
UZB,43.55
VCT,56.48
RB,54.9
VIR,50.07
VNM,48.31
VUT,18.8
PSE,53.67
WLD,40.689136605418
WSM,21.2
Rep.,20
ZAF,49
Dem. Rep.,2.2
ZMB,17.34
ZWE,19.89
